year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1967,Total dairy products,7631085,Total domestic disappearance,376.69,10,Kilolitres,,,,
1967,Fluid products,2590339,Total domestic disappearance,130.09,8,Kilolitres,,,,
1967,Butter,3506362,Total domestic disappearance,171.53,4,Kilolitres,,,,
1967,Cheese,859959,Total domestic disappearance,42.07,10,Kilolitres,,,,
1967,Concentrated whole milk products,350018,Total domestic disappearance,17.12,10,Kilolitres,,,,
1967,Ice cream,324406,Total domestic disappearance,15.87,7,Kilolitres,,,,
1968,Total dairy products,7591766,Total domestic disappearance,368.8,1,Kilolitres,,,,
1968,Fluid products,2538524,Total domestic disappearance,125.53,1,Kilolitres,,,,
1968,Butter,3465179,Total domestic disappearance,166.82,10,Kilolitres,,,,
1968,Cheese,921841,Total domestic disappearance,44.38,12,Kilolitres,,,,
1968,Concentrated whole milk products,338968,Total domestic disappearance,16.32,7,Kilolitres,,,,
1968,Ice cream,327254,Total domestic disappearance,15.75,8,Kilolitres,,,,
1969,Total dairy products,7537133,Total domestic disappearance,360.72,8,Kilolitres,,,,
1969,Fluid products,2496203,Total domestic disappearance,121.69,11,Kilolitres,,,,
1969,Butter,3355138,Total domestic disappearance,159.09,12,Kilolitres,,,,
1969,Cheese,1020620,Total domestic disappearance,48.4,2,Kilolitres,,,,
1969,Concentrated whole milk products,314282,Total domestic disappearance,14.9,13,Kilolitres,,,,
1969,Ice cream,350890,Total domestic disappearance,16.64,0,Kilolitres,,,,
1970,Total dairy products,7689032,Total domestic disappearance,362.58,11,Kilolitres,,,,
1970,Fluid products,2513114,Total domestic disappearance,120.79,11,Kilolitres,,,,
1970,Butter,3408504,Total domestic disappearance,159.23,4,Kilolitres,,,,
1970,Cheese,1106435,Total domestic disappearance,51.69,13,Kilolitres,,,,
1970,Concentrated whole milk products,293190,Total domestic disappearance,13.7,13,Kilolitres,,,,
1970,Ice cream,367789,Total domestic disappearance,17.18,3,Kilolitres,,,,
1971,Total dairy products,7788434,Total domestic disappearance,360.67,4,Kilolitres,,,,
1971,Fluid products,2521442,Total domestic disappearance,116.78,7,Kilolitres,,,,
1971,Butter,3413174,Total domestic disappearance,158.05,5,Kilolitres,,,,
1971,Cheese,1187763,Total domestic disappearance,55,8,Kilolitres,,,,
