"REF_DATE","GEO","DGUID","Type of dairy product","Type of disappearance of dairy products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1936","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","317.64","","","","2"
"1936","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","197964","","","","0"
"1936","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","18.08","","","","2"
"1936","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","73543","","","","0"
"1936","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","6.72","","","","2"
"1936","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","57110","","","","0"
"1936","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.22","","","","2"
"1937","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5862585","","","","0"
"1937","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","530.79","","","","2"
"1937","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1960711","","","","0"
"1937","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","177.52","","","","2"
"1937","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3557156","","","","0"
"1937","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","322.06","","","","2"
"1937","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","195332","","","","0"
"1937","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","17.69","","","","2"
"1937","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","85058","","","","0"
"1937","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","7.70","","","","2"
"1937","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","64328","","","","0"
"1937","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.82","","","","2"
"1938","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6013788","","","","0"
"1938","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","539.26","","","","2"
"1938","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2115945","","","","0"
"1938","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","189.74","","","","2"
"1938","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3538293","","","","0"
"1938","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","317.28","","","","2"
"1938","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","209403","","","","0"
"1938","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","18.78","","","","2"
"1938","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","88240","","","","0"
"1938","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","7.92","","","","2"
